=== iter1: crafty+F736+domain (old champion) ===
22:50:43 Grounding...
22:50:44 Grounding done (1.50s)
22:50:44 Solving...
22:50:45 Model found (2.36s): [-72, -5392]
22:50:46 Model found (2.63s, +0.00s): [-72, -6782]
22:50:46 Model found (2.63s, +0.00s): [-72, -6792]
22:50:46 Model found (2.63s, +0.00s): [-72, -6802]
22:50:46 Model found (2.63s, +0.00s): [-72, -6812]
22:50:46 Model found (2.63s, +0.00s): [-72, -6822]
22:50:46 Model found (2.64s, +0.00s): [-72, -6832]
22:50:46 Model found (2.64s, +0.00s): [-72, -6842]
22:50:46 Model found (2.64s, +0.00s): [-72, -6852]
22:50:46 Model found (2.64s, +0.00s): [-72, -6862]
22:50:46 Model found (2.64s, +0.00s): [-72, -6872]
22:50:46 Model found (2.65s, +0.00s): [-72, -6882]
22:50:46 Model found (2.65s, +0.00s): [-72, -6892]
22:50:46 Model found (2.65s, +0.00s): [-72, -6902]
22:50:46 Model found (2.65s, +0.00s): [-72, -6912]
22:50:46 Model found (2.65s, +0.00s): [-72, -6922]
22:50:46 Model found (2.65s, +0.00s): [-72, -6932]
22:50:46 Model found (2.66s, +0.00s): [-72, -6942]
22:50:46 Model found (2.66s, +0.00s): [-72, -6952]
22:50:46 Model found (2.66s, +0.00s): [-72, -6962]
22:50:46 Model found (2.66s, +0.00s): [-72, -6972]
22:50:46 Model found (2.66s, +0.00s): [-72, -6982]
22:50:46 Model found (2.67s, +0.00s): [-72, -6992]
22:50:46 Model found (2.67s, +0.00s): [-72, -7002]
22:50:46 Model found (2.67s, +0.00s): [-72, -7012]
22:50:46 Model found (2.67s, +0.00s): [-72, -7022]
22:50:46 Model found (2.67s, +0.00s): [-72, -7032]
22:50:46 Model found (2.67s, +0.00s): [-72, -7042]
22:50:46 Model found (2.68s, +0.00s): [-72, -7052]
22:50:46 Model found (2.68s, +0.00s): [-72, -7062]
22:50:46 Model found (2.68s, +0.00s): [-72, -7072]
22:50:46 Model found (2.68s, +0.00s): [-72, -7082]
22:50:46 Model found (2.68s, +0.00s): [-72, -7092]
22:50:46 Model found (2.69s, +0.00s): [-72, -7102]
22:50:46 Model found (2.69s, +0.00s): [-72, -7112]
22:50:46 Model found (2.69s, +0.00s): [-72, -7122]
22:50:46 Model found (2.69s, +0.00s): [-72, -7132]
22:50:46 Model found (2.69s, +0.00s): [-72, -7142]
22:50:46 Model found (2.69s, +0.00s): [-72, -7152]
22:50:46 Model found (2.70s, +0.00s): [-72, -7162]
22:50:46 Model found (2.70s, +0.00s): [-72, -7172]
22:50:46 Model found (2.70s, +0.00s): [-72, -7182]
22:50:46 Model found (2.70s, +0.00s): [-72, -7192]
22:50:46 Model found (2.70s, +0.00s): [-72, -7202]
22:50:46 Model found (2.71s, +0.00s): [-72, -7212]
22:50:46 Model found (2.71s, +0.00s): [-72, -7222]
22:50:46 Model found (2.71s, +0.00s): [-72, -7232]
22:50:46 Model found (2.71s, +0.00s): [-72, -7242]
22:50:46 Model found (2.71s, +0.00s): [-72, -7252]
22:50:46 Model found (2.72s, +0.00s): [-72, -7262]
22:50:46 Model found (2.72s, +0.00s): [-72, -7272]
22:50:46 Model found (2.72s, +0.00s): [-72, -7282]
22:50:46 Model found (2.72s, +0.00s): [-72, -7292]
22:50:46 Model found (2.72s, +0.00s): [-72, -7302]
22:50:46 Model found (2.72s, +0.00s): [-72, -7312]
22:50:46 Model found (2.73s, +0.00s): [-72, -7322]
22:50:46 Model found (2.73s, +0.00s): [-72, -7332]
22:50:46 Model found (2.73s, +0.00s): [-72, -7342]
22:50:46 Model found (2.73s, +0.00s): [-72, -7352]
22:50:46 Model found (2.73s, +0.00s): [-72, -7362]
22:50:46 Model found (2.74s, +0.00s): [-72, -7372]
22:50:46 Model found (2.74s, +0.00s): [-72, -7382]
22:50:46 Model found (2.74s, +0.00s): [-72, -7392]
22:50:46 Model found (2.74s, +0.00s): [-72, -7402]
22:50:46 Model found (2.74s, +0.00s): [-72, -7412]
22:50:46 Model found (2.75s, +0.00s): [-72, -7422]
22:50:46 Model found (2.75s, +0.00s): [-72, -7432]
22:50:46 Model found (2.75s, +0.00s): [-72, -7442]
22:50:46 Model found (2.75s, +0.00s): [-72, -7452]
22:50:46 Model found (2.75s, +0.00s): [-72, -7462]
22:50:46 Model found (2.75s, +0.00s): [-72, -7472]
22:50:46 Model found (2.76s, +0.00s): [-72, -7482]
22:50:46 Model found (2.76s, +0.00s): [-72, -7492]
22:50:46 Model found (2.76s, +0.00s): [-72, -7502]
22:50:46 Model found (2.76s, +0.00s): [-72, -7512]
22:50:46 Model found (2.76s, +0.00s): [-72, -7522]
22:50:46 Model found (2.77s, +0.00s): [-72, -7532]
22:50:46 Model found (2.77s, +0.00s): [-72, -7542]
22:50:46 Model found (2.77s, +0.00s): [-72, -7552]
22:50:46 Model found (2.77s, +0.00s): [-72, -7562]
22:50:46 Model found (2.77s, +0.00s): [-72, -7572]
22:50:46 Model found (2.77s, +0.00s): [-72, -7582]
22:50:46 Model found (2.78s, +0.00s): [-72, -7592]
22:50:46 Model found (2.78s, +0.00s): [-72, -7602]
22:50:46 Model found (2.78s, +0.00s): [-72, -7612]
22:50:46 Model found (2.78s, +0.00s): [-72, -7622]
22:50:46 Model found (2.78s, +0.00s): [-72, -7632]
22:50:46 Model found (2.79s, +0.00s): [-72, -7642]
22:50:46 Model found (2.79s, +0.00s): [-72, -7652]
22:50:46 Model found (2.79s, +0.00s): [-72, -7662]
22:50:46 Model found (2.79s, +0.00s): [-72, -7672]
22:50:46 Model found (2.79s, +0.00s): [-72, -7682]
22:50:46 Model found (2.79s, +0.00s): [-72, -7692]
22:50:46 Model found (2.80s, +0.00s): [-72, -7702]
22:50:46 Model found (2.80s, +0.00s): [-72, -7712]
22:50:46 Model found (2.80s, +0.00s): [-72, -7722]
22:50:46 Model found (2.80s, +0.00s): [-72, -7732]
22:50:46 Model found (2.80s, +0.00s): [-72, -7742]
22:50:46 Model found (2.81s, +0.00s): [-72, -7752]
22:50:46 Model found (2.81s, +0.00s): [-72, -7762]
22:50:46 Model found (2.81s, +0.00s): [-72, -7772]
22:50:46 Model found (2.81s, +0.00s): [-72, -7782]
22:50:46 Model found (2.81s, +0.00s): [-72, -7792]
22:50:46 Model found (2.82s, +0.00s): [-72, -7802]
22:50:46 Model found (2.82s, +0.00s): [-72, -7812]
22:50:46 Model found (2.82s, +0.00s): [-72, -7822]
22:50:46 Model found (2.82s, +0.00s): [-72, -7832]
22:50:46 Model found (2.82s, +0.00s): [-72, -7842]
22:50:46 Model found (2.82s, +0.00s): [-72, -7852]
22:50:46 Model found (2.83s, +0.00s): [-72, -7862]
22:50:46 Model found (2.83s, +0.00s): [-72, -7872]
22:50:46 Model found (2.83s, +0.00s): [-72, -7882]
22:50:46 Model found (2.83s, +0.00s): [-72, -7892]
22:50:46 Model found (2.83s, +0.00s): [-72, -7902]
22:50:46 Model found (2.84s, +0.00s): [-72, -7912]
22:50:46 Model found (2.84s, +0.00s): [-72, -7922]
22:50:46 Model found (2.84s, +0.00s): [-72, -7932]
22:50:46 Model found (2.84s, +0.00s): [-72, -7942]
22:50:46 Model found (2.84s, +0.00s): [-72, -7952]
22:50:46 Model found (2.85s, +0.00s): [-72, -7962]
22:50:46 Model found (2.85s, +0.00s): [-72, -7972]
22:50:46 Model found (2.85s, +0.00s): [-72, -7982]
22:50:46 Model found (2.85s, +0.00s): [-72, -7992]
22:50:46 Model found (2.85s, +0.00s): [-72, -8002]
22:50:46 Model found (2.86s, +0.00s): [-72, -8012]
22:50:46 Model found (2.86s, +0.00s): [-72, -8022]
22:50:46 Model found (2.86s, +0.00s): [-72, -8032]
22:50:46 Model found (2.86s, +0.00s): [-72, -8042]
22:50:46 Model found (2.86s, +0.00s): [-72, -8052]
22:50:46 Model found (2.87s, +0.00s): [-72, -8062]
22:50:46 Model found (2.87s, +0.00s): [-72, -8072]
22:50:46 Model found (2.87s, +0.00s): [-72, -8082]
22:50:46 Model found (2.87s, +0.00s): [-72, -8092]
22:50:46 Model found (2.87s, +0.00s): [-72, -8102]
