Domain options require heuristic 'Domain'!
17:05:45 Grounding...
17:05:45 Grounding done (0.29s)
17:05:45 Solving...
17:05:46 Model found (1.17s): [-92, -245]
17:06:34 Model found (49.03s, +0.07s): [-380, -1268]
17:06:34 Model found (49.10s, +0.06s): [-380, -1269]
17:06:34 Model found (49.14s, +0.05s): [-380, -1270]
17:06:34 Model found (49.19s, +0.05s): [-380, -1271]
17:06:34 Model found (49.24s, +0.05s): [-380, -1272]
17:06:34 Model found (49.29s, +0.05s): [-380, -1273]
17:06:35 Model found (49.34s, +0.05s): [-380, -1274]
17:06:35 Model found (49.40s, +0.05s): [-380, -1275]
17:06:35 Model found (49.49s, +0.10s): [-380, -1276]
17:06:35 Model found (49.55s, +0.06s): [-380, -1277]
17:06:35 Model found (49.61s, +0.06s): [-380, -1278]
17:06:35 Model found (49.66s, +0.05s): [-380, -1279]
17:06:35 Model found (49.71s, +0.05s): [-380, -1280]
17:06:35 Model found (49.76s, +0.05s): [-380, -1281]
17:06:35 Model found (49.86s, +0.09s): [-380, -1282]
17:06:35 Model found (49.99s, +0.13s): [-380, -1283]
17:06:35 Model found (50.07s, +0.08s): [-380, -1284]
17:06:35 Model found (50.14s, +0.07s): [-380, -1285]
17:06:35 Model found (50.21s, +0.07s): [-380, -1286]
17:06:35 Model found (50.29s, +0.08s): [-380, -1287]
17:06:36 Model found (50.35s, +0.06s): [-380, -1288]
17:06:36 Model found (50.41s, +0.06s): [-380, -1289]
17:06:36 Model found (50.47s, +0.06s): [-380, -1290]
17:06:36 Model found (50.51s, +0.05s): [-380, -1291]
17:06:36 Model found (50.60s, +0.08s): [-380, -1292]
17:06:36 Model found (50.66s, +0.06s): [-380, -1293]
17:06:36 Model found (50.73s, +0.07s): [-380, -1294]
17:06:36 Model found (51.11s, +0.37s): [-380, -1295]
17:06:36 Model found (51.20s, +0.09s): [-380, -1296]
17:06:36 Model found (51.26s, +0.06s): [-380, -1297]
17:06:37 Model found (51.33s, +0.07s): [-380, -1298]
17:06:37 Model found (51.38s, +0.05s): [-380, -1299]
17:06:37 Model found (51.44s, +0.06s): [-380, -1300]
17:06:37 Model found (51.51s, +0.07s): [-380, -1301]
17:06:37 Model found (51.60s, +0.09s): [-380, -1302]
17:06:37 Model found (51.66s, +0.06s): [-380, -1303]
17:06:37 Model found (51.72s, +0.06s): [-380, -1304]
17:06:37 Model found (51.79s, +0.06s): [-380, -1305]
17:06:37 Model found (51.85s, +0.06s): [-380, -1306]
17:06:37 Model found (51.94s, +0.09s): [-380, -1307]
17:06:37 Model found (52.01s, +0.07s): [-380, -1308]
17:06:37 Model found (52.07s, +0.06s): [-380, -1309]
17:06:37 Model found (52.17s, +0.10s): [-380, -1310]
17:06:37 Model found (52.23s, +0.07s): [-380, -1311]
17:06:38 Model found (52.30s, +0.06s): [-380, -1312]
17:06:38 Model found (52.38s, +0.09s): [-380, -1313]
17:06:38 Model found (52.74s, +0.35s): [-380, -1314]
17:06:38 Model found (52.85s, +0.12s): [-380, -1315]
17:06:38 Model found (52.91s, +0.06s): [-380, -1316]
17:06:38 Model found (52.97s, +0.06s): [-380, -1317]
17:06:38 Model found (53.03s, +0.05s): [-380, -1318]
17:06:38 Model found (53.09s, +0.06s): [-380, -1319]
17:06:38 Model found (53.18s, +0.09s): [-380, -1320]
17:06:38 Model found (53.24s, +0.06s): [-380, -1321]
17:06:39 Model found (53.29s, +0.06s): [-380, -1322]
17:06:39 Model found (53.34s, +0.05s): [-380, -1323]
17:06:39 Model found (53.39s, +0.05s): [-380, -1324]
17:06:39 Model found (53.44s, +0.05s): [-380, -1325]
17:06:39 Model found (53.50s, +0.06s): [-380, -1326]
17:06:39 Model found (53.60s, +0.10s): [-380, -1327]
17:06:39 Model found (53.65s, +0.05s): [-380, -1328]
17:06:39 Model found (53.83s, +0.18s): [-380, -1329]
17:06:39 Model found (53.90s, +0.07s): [-380, -1330]
17:06:39 Model found (53.97s, +0.07s): [-380, -1331]
17:06:39 Model found (54.03s, +0.06s): [-380, -1332]
